expected_crop	source_type	file	resultType	gate	bestCrop	bestClass	is_real_field_photo	trigger_G5	trigger_G5b	trigger_G7a	trigger_uncertain	trigger_uncertain_gap	trigger_uncertain_second_crop	trigger_uncertain_entropy	trigger_uncertain_class_ratio	bestClassProb	bestCropTotal	secondCropTotal	otherLeaf	entropy	top1	top1_p	top2	top2_p	top3	top3_p
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_aug_167_aug.jpg	healthy	G7g_confident	banana	banana_healthy	True	False	False	False	False	False	False	False	False	0.9791223064495664	0.9792296456437424	1.76092660277602e-05	0.020752745080649972	0.14752202045578372	banana_healthy	0.9791223064495664	other_leaf	0.020752745080649972	banana_pestalotiopsis	0.0001067073409324459
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_aug_170_aug.jpg	healthy	G7g_confident	banana	banana_healthy	True	False	False	False	False	False	False	False	False	0.9701723642257919	0.9742531279903109	1.7605311333964505e-08	0.02574685440238069	0.2107028142671111	banana_healthy	0.9701723642257919	other_leaf	0.02574685440238069	banana_pestalotiopsis	0.004080758466493062
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_aug_173_aug.jpg	healthy	G7g_confident	banana	banana_healthy	True	False	False	False	False	False	False	False	False	0.947489350926712	0.9524314789502599	4.903614211840401e-06	0.047559482870747266	0.32133545991339574	banana_healthy	0.947489350926712	other_leaf	0.047559482870747266	banana_pestalotiopsis	0.0048729434653826545
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_aug_176_aug.jpg	healthy	G7g_confident	banana	banana_healthy	True	False	False	False	False	False	False	False	False	0.9612129739377058	0.9626965922377952	3.6151465029974324e-06	0.03729668219927519	0.24597730103134266	banana_healthy	0.9612129739377058	other_leaf	0.03729668219927519	banana_pestalotiopsis	0.0014749410315735901
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_aug_180_aug.jpg	healthy	G7g_confident	banana	banana_healthy	True	False	False	False	False	False	False	False	False	0.9049824253277462	0.9054328504953817	2.4500194870825335e-06	0.09456469927665326	0.4571669265405198	banana_healthy	0.9049824253277462	other_leaf	0.09456469927665326	banana_pestalotiopsis	0.0004503977899327894
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_aug_190_aug.jpg	healthy	G7g_confident	banana	banana_healthy	True	False	False	False	False	False	False	False	False	0.8525741575946103	0.852589295567357	5.486495810180453e-07	0.14741015577481315	0.6035939807774036	banana_healthy	0.8525741575946103	other_leaf	0.14741015577481315	banana_pestalotiopsis	1.513456748251619e-05
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_aug_196_aug.jpg	healthy	G7g_confident	banana	banana_healthy	True	False	False	False	False	False	False	False	False	0.8907641314694122	0.8912462817150323	4.4487272868910914e-05	0.1087092305619872	0.5026383448806605	banana_healthy	0.8907641314694122	other_leaf	0.1087092305619872	banana_pestalotiopsis	0.00048212948129292146
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_aug_207_aug.jpg	healthy	G7g_confident	banana	banana_healthy	True	False	False	False	False	False	False	False	False	0.8608577668783468	0.8621301478039435	1.9612324037980202e-07	0.13786965257080985	0.5924483120978379	banana_healthy	0.8608577668783468	other_leaf	0.13786965257080985	banana_pestalotiopsis	0.0012715172459316134
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_aug_20_aug.jpg	healthy	G7g_confident	banana	banana_healthy	True	False	False	False	False	False	False	False	False	0.9304992307097295	0.9306672662488319	4.4129449716597265e-05	0.06928860424139602	0.36629927139872714	banana_healthy	0.9304992307097295	other_leaf	0.06928860424139602	banana_pestalotiopsis	0.00016734651257114375
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_aug_218_aug.jpg	healthy	G7g_confident	banana	banana_healthy	True	False	False	False	False	False	False	False	False	0.9392649749236556	0.9395000430463879	2.5534489628658432e-05	0.060474421759792896	0.3329273456495977	banana_healthy	0.9392649749236556	other_leaf	0.060474421759792896	banana_pestalotiopsis	0.00023173722182976038
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_aug_225_aug.jpg	healthy	G7g_confident	banana	banana_healthy	True	False	False	False	False	False	False	False	False	0.9333007479777381	0.9337611147525474	3.394545701752341e-08	0.06623885129994893	0.35745090707017607	banana_healthy	0.9333007479777381	other_leaf	0.06623885129994893	banana_pestalotiopsis	0.00046036669827144374
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_aug_227_aug.jpg	unsupported	G7a_crop_total	banana		True	False	False	True	False	False	False	False	False	0.0	0.8487397601239542	0.004452849497079437	0.14680738997271067	0.6430504400291776	banana_healthy	0.848667879264114	other_leaf	0.14680738997271067	maize_healthy	0.00445284939246016
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_aug_231_aug.jpg	healthy	G7g_confident	banana	banana_healthy	True	False	False	False	False	False	False	False	False	0.9678748553352926	0.9713883246062731	3.3176497173667556e-06	0.028607869747432586	0.2209995071391312	banana_healthy	0.9678748553352926	other_leaf	0.028607869747432586	banana_pestalotiopsis	0.003513224070197226
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_aug_234_aug.jpg	healthy	G7g_confident	banana	banana_healthy	True	False	False	False	False	False	False	False	False	0.8772168781975874	0.8929861061884501	0.00029986623980269065	0.1067055827685268	0.6085277865775335	banana_healthy	0.8772168781975874	other_leaf	0.1067055827685268	banana_pestalotiopsis	0.01575386670353417
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_aug_245_aug.jpg	healthy	G7g_confident	banana	banana_healthy	True	False	False	False	False	False	False	False	False	0.9475086037269408	0.9552052296582966	3.048290631482313e-05	0.04475375016658425	0.3309204296416444	banana_healthy	0.9475086037269408	other_leaf	0.04475375016658425	banana_pestalotiopsis	0.007376324471994027
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_aug_246_aug.jpg	healthy	G7g_confident	banana	banana_healthy	True	False	False	False	False	False	False	False	False	0.8468397538939749	0.8500152072772506	1.0795533197117368e-05	0.1499739961268433	0.6401482366982815	banana_healthy	0.8468397538939749	other_leaf	0.1499739961268433	banana_pestalotiopsis	0.003175390052546003
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_aug_256_aug.jpg	healthy	G7g_confident	banana	banana_healthy	True	False	False	False	False	False	False	False	False	0.9102034611234255	0.9120755481165408	0.0008018418910261228	0.08712260996663165	0.45554085758822654	banana_healthy	0.9102034611234255	other_leaf	0.08712260996663165	banana_pestalotiopsis	0.0018683497149183067
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_aug_259_aug.jpg	other_leaf	G5b_other_leaf_floor	banana		True	False	True	False	False	False	False	False	False	0.0	0.8436548720544612	0.00010199928958264946	0.15624312854013506	0.627838617983578	banana_healthy	0.8435799438740466	other_leaf	0.15624312854013506	maize_healthy	0.00010199928848608425
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_aug_267_aug.jpg	healthy	G7g_confident	banana	banana_healthy	True	False	False	False	False	False	False	False	False	0.9269128365342595	0.9270070410583737	1.215084794704624e-07	0.07299283742237503	0.3783828559360516	banana_healthy	0.9269128365342595	other_leaf	0.07299283742237503	banana_pestalotiopsis	9.420286969813622e-05
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_aug_271_aug.jpg	other_leaf	G5b_other_leaf_floor	banana		True	False	True	False	False	False	False	False	False	0.0	0.8456627814616959	1.2303395886193665e-05	0.15432472540487682	0.8953576787160737	banana_healthy	0.7956040923097787	other_leaf	0.15432472540487682	banana_pestalotiopsis	0.050027772140483304
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_aug_273_aug.jpg	healthy	G7g_confident	banana	banana_healthy	True	False	False	False	False	False	False	False	False	0.9211735016765471	0.9213244760999058	8.171105578606204e-07	0.07867470663598314	0.3996725659434639	banana_healthy	0.9211735016765471	other_leaf	0.07867470663598314	banana_pestalotiopsis	0.0001426646860757339
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_aug_300_aug.jpg	healthy	G7g_confident	banana	banana_healthy	True	False	False	False	False	False	False	False	False	0.9392407023309001	0.9392419769618134	6.216148742358918e-08	0.060757960874664355	0.33047471194461847	banana_healthy	0.9392407023309001	other_leaf	0.060757960874664355	banana_pestalotiopsis	1.274478135303089e-06
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_aug_304_aug.jpg	healthy	G7g_confident	banana	banana_healthy	True	False	False	False	False	False	False	False	False	0.953275267029052	0.9533079712593235	1.2735848725369856e-08	0.046692015081163746	0.2727080309906525	banana_healthy	0.953275267029052	other_leaf	0.046692015081163746	banana_pestalotiopsis	3.26792724820089e-05
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_aug_306_aug.jpg	healthy	G7g_confident	banana	banana_healthy	True	False	False	False	False	False	False	False	False	0.8658274312364849	0.8666360085136997	2.7833501135165672e-05	0.13333614586123232	0.5766943436075139	banana_healthy	0.8658274312364849	other_leaf	0.13333614586123232	banana_pestalotiopsis	0.0007204690885430851
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_aug_308_aug.jpg	healthy	G7g_confident	banana	banana_healthy	True	False	False	False	False	False	False	False	False	0.8523370067333619	0.8533472619646307	1.1172081669423913e-05	0.14664117536493	0.6130090615978818	banana_healthy	0.8523370067333619	other_leaf	0.14664117536493	banana_pestalotiopsis	0.0009893709013506036
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_aug_317_aug.jpg	healthy	G7g_confident	banana	banana_healthy	True	False	False	False	False	False	False	False	False	0.9213440216759039	0.9279859918593064	3.96140721878236e-06	0.07201004672873071	0.43034555179954787	banana_healthy	0.9213440216759039	other_leaf	0.07201004672873071	banana_pestalotiopsis	0.006641452243926025
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_aug_321_aug.jpg	other_leaf	G5b_other_leaf_floor	banana		True	False	True	False	False	False	False	False	False	0.0	0.8132532030018228	0.0002768834650997972	0.1864699101803144	0.8129680664588542	banana_healthy	0.7969474436010134	other_leaf	0.1864699101803144	banana_pestalotiopsis	0.016298158695536177
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_aug_323_aug.jpg	other_leaf	G5b_other_leaf_floor	banana		True	False	True	False	False	False	False	False	False	0.0	0.8185406091073711	0.0003323241569916213	0.1811270607665726	0.8533848223634571	banana_healthy	0.7928123984858618	other_leaf	0.1811270607665726	banana_pestalotiopsis	0.025531126259852894
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_aug_342_aug.jpg	healthy	G7g_confident	banana	banana_healthy	True	False	False	False	False	False	False	False	False	0.8919326781681732	0.8920367045013319	0.0002407896498678969	0.1077225058334577	0.49772075068993954	banana_healthy	0.8919326781681732	other_leaf	0.1077225058334577	maize_healthy	0.00024078964882014444
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_aug_346_aug.jpg	healthy	G7g_confident	banana	banana_healthy	True	False	False	False	False	False	False	False	False	0.8940260182558448	0.8943370914430068	3.345477311093496e-05	0.10562936475522945	0.4912669133578458	banana_healthy	0.8940260182558448	other_leaf	0.10562936475522945	banana_pestalotiopsis	0.00029002654761509816
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_aug_347_aug.jpg	healthy	G7g_confident	banana	banana_healthy	True	False	False	False	False	False	False	False	False	0.9083658526785229	0.9086890551924122	3.402917000477698e-06	0.09130751664301445	0.44509130774202793	banana_healthy	0.9083658526785229	other_leaf	0.09130751664301445	banana_pestalotiopsis	0.0003184054395463685
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_aug_350_aug.jpg	healthy	G7g_confident	banana	banana_healthy	True	False	False	False	False	False	False	False	False	0.9407110290449585	0.9407224467621316	2.8713273639424765e-07	0.05927726604724679	0.32477932177942315	banana_healthy	0.9407110290449585	other_leaf	0.05927726604724679	banana_pestalotiopsis	1.1362293838490475e-05
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_aug_351_aug.jpg	healthy	G7g_confident	banana	banana_healthy	True	False	False	False	False	False	False	False	False	0.9621759446567136	0.9621795719022445	7.381352471537198e-08	0.03782035428142481	0.23228024283169038	banana_healthy	0.9621759446567136	other_leaf	0.03782035428142481	banana_pestalotiopsis	3.625609883056331e-06
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_aug_359_aug.jpg	healthy	G7g_confident	banana	banana_healthy	True	False	False	False	False	False	False	False	False	0.9387188440863412	0.9387306066483962	5.280117773779824e-09	0.0612693880598468	0.3326729330888905	banana_healthy	0.9387188440863412	other_leaf	0.0612693880598468	banana_pestalotiopsis	1.1668126683601739e-05
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_aug_366_aug.jpg	healthy	G7g_confident	banana	banana_healthy	True	False	False	False	False	False	False	False	False	0.9883686209918936	0.9884523377012866	4.394831755153909e-07	0.01154722269812821	0.09214744323055268	banana_healthy	0.9883686209918936	other_leaf	0.01154722269812821	banana_pestalotiopsis	8.370384785780294e-05
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_aug_376_aug.jpg	healthy	G7g_confident	banana	banana_healthy	True	False	False	False	False	False	False	False	False	0.8625037865207713	0.8627877952424337	1.8369907306012276e-05	0.1371938348202291	0.5808959701330968	banana_healthy	0.8625037865207713	other_leaf	0.1371938348202291	banana_pestalotiopsis	0.00027712604404398487
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_aug_383_aug.jpg	healthy	G7g_confident	banana	banana_healthy	True	False	False	False	False	False	False	False	False	0.913134216048333	0.9135096927228706	0.002155590362421849	0.08433471685746957	0.4439665203250491	banana_healthy	0.913134216048333	other_leaf	0.08433471685746957	maize_healthy	0.002155590361335919
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_aug_388_aug.jpg	healthy	G7g_confident	banana	banana_healthy	True	False	False	False	False	False	False	False	False	0.9478290706684086	0.9493628453931461	2.873856692079029e-05	0.05060838230571513	0.3062408245499049	banana_healthy	0.9478290706684086	other_leaf	0.05060838230571513	banana_pestalotiopsis	0.0014772764814657017
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_aug_390_aug.jpg	healthy	G7g_confident	banana	banana_healthy	True	False	False	False	False	False	False	False	False	0.892351995301654	0.8948750972892989	2.775680253636033e-06	0.10512209004071775	0.5104219193239161	banana_healthy	0.892351995301654	other_leaf	0.10512209004071775	banana_pestalotiopsis	0.00247820557726459
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_aug_396_aug.jpg	healthy	G7g_confident	banana	banana_healthy	True	False	False	False	False	False	False	False	False	0.9087231693535976	0.9088073663188173	0.0032843372547299754	0.0879082963242565	0.4621012353842308	banana_healthy	0.9087231693535976	other_leaf	0.0879082963242565	maize_healthy	0.003284337211600296
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_aug_46_aug.jpg	healthy	G7g_confident	banana	banana_healthy	True	False	False	False	False	False	False	False	False	0.9241669237830206	0.9242660079513549	3.10277006976426e-05	0.07570296336828906	0.38881142408021346	banana_healthy	0.9241669237830206	other_leaf	0.07570296336828906	banana_pestalotiopsis	9.894185101606093e-05
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_aug_49_aug.jpg	healthy	G7g_confident	banana	banana_healthy	True	False	False	False	False	False	False	False	False	0.9493627301657439	0.9493770365466939	2.36767564037662e-07	0.0506227266790265	0.28929179095477997	banana_healthy	0.9493627301657439	other_leaf	0.0506227266790265	banana_pestalotiopsis	1.43039368845824e-05
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_aug_52_aug.jpg	other_leaf	G5b_other_leaf_floor	banana		True	False	True	False	False	False	False	False	False	0.0	0.7450596160040278	0.004573530052627347	0.25036685303245987	0.8599585901329233	banana_healthy	0.7444309687326475	other_leaf	0.25036685303245987	maize_healthy	0.004573194666957593
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_aug_58_aug.jpg	healthy	G7g_confident	banana	banana_healthy	True	False	False	False	False	False	False	False	False	0.8803296047059902	0.8803775524566092	9.447549568730471e-07	0.11962150271058329	0.5290409146943683	banana_healthy	0.8803296047059902	other_leaf	0.11962150271058329	banana_pestalotiopsis	4.789878039687663e-05
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_aug_62_aug.jpg	other_leaf	G5b_other_leaf_floor	banana		True	False	True	False	False	False	False	False	False	0.0	0.8380005251436529	5.407031185896737e-05	0.1619454045368252	0.6422002291517513	banana_healthy	0.8378228000495019	other_leaf	0.1619454045368252	banana_pestalotiopsis	0.00017764255952187012
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_aug_77_aug.jpg	healthy	G7g_confident	banana	banana_healthy	True	False	False	False	False	False	False	False	False	0.9735547475848568	0.9739032667054823	1.7339503858074954e-07	0.026096558682122434	0.17891883272088385	banana_healthy	0.9735547475848568	other_leaf	0.026096558682122434	banana_pestalotiopsis	0.0003484966917522456
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_aug_79_aug.jpg	healthy	G7g_confident	banana	banana_healthy	True	False	False	False	False	False	False	False	False	0.865775685175065	0.8671967106730236	0.0001763736085561761	0.13262691030477802	0.5822150553574631	banana_healthy	0.865775685175065	other_leaf	0.13262691030477802	banana_pestalotiopsis	0.001420953899012102
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_aug_86_aug.jpg	other_leaf	G5b_other_leaf_floor	banana		True	False	True	False	False	False	False	False	False	0.0	0.8254506004595631	1.1984021747257838e-05	0.17453741404227152	0.6994089880005032	banana_healthy	0.8221284155583589	other_leaf	0.17453741404227152	banana_pestalotiopsis	0.0033220926360567095
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_aug_89_aug.jpg	healthy	G7g_confident	banana	banana_healthy	True	False	False	False	False	False	False	False	False	0.9518939651770666	0.9564989304463438	3.315973532001821e-05	0.04346695740977239	0.3050964555541205	banana_healthy	0.9518939651770666	other_leaf	0.04346695740977239	banana_pestalotiopsis	0.002770558918452449
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_aug_98_aug.jpg	healthy	G7g_confident	banana	banana_healthy	True	False	False	False	False	False	False	False	False	0.8778871775068797	0.8779195355389703	0.0017868464852379593	0.12029361796837422	0.5492859748276555	banana_healthy	0.8778871775068797	other_leaf	0.12029361796837422	maize_healthy	0.0017868464832633414
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_aug_99_aug.jpg	healthy	G7g_confident	banana	banana_healthy	True	False	False	False	False	False	False	False	False	0.9445592001291025	0.9447029658621791	1.971732109118632e-05	0.05527731681470117	0.31077234509237855	banana_healthy	0.9445592001291025	other_leaf	0.05527731681470117	banana_pestalotiopsis	0.0001436254213777327
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_orig_119.jpg	other_leaf	G5_other_leaf_winner	banana		True	True	False	False	False	False	False	False	False	0.0	0.6682031039650895	0.0015966464075442854	0.3302001916402484	1.5093886086445458	banana_sigatoka	0.4799854104535662	other_leaf	0.3302001916402484	banana_healthy	0.18774166195399447
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_orig_123.jpg	healthy	G7g_confident	banana	banana_healthy	True	False	False	False	False	False	False	False	False	0.9941904349305367	0.9942040623665197	1.4676917496435844e-05	0.005781260714058042	0.05179333863109647	banana_healthy	0.9941904349305367	other_leaf	0.005781260714058042	maize_healthy	1.4676916533717488e-05
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_orig_2.jpg	other_leaf	G5b_other_leaf_floor	banana		True	False	True	False	False	False	False	False	False	0.0	0.8414515429321111	0.0002509705225556745	0.1582974783506339	0.6389055684118922	banana_healthy	0.8410188020839133	other_leaf	0.1582974783506339	banana_pestalotiopsis	0.0004290880479166636
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_orig_28.jpg	other_leaf	G5b_other_leaf_floor	banana		True	False	True	False	False	False	False	False	False	0.0	0.831557344318711	0.0002409537623152209	0.16820170191183575	0.6576030353742022	banana_healthy	0.8315023034921543	other_leaf	0.16820170191183575	maize_healthy	0.00024095376124081091
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_orig_3.jpg	other_leaf	G5b_other_leaf_floor	banana		True	False	True	False	False	False	False	False	False	0.0	0.7608692407203942	0.06441429269323916	0.17471642993392048	1.0175808234363404	banana_healthy	0.7587603335841413	other_leaf	0.17471642993392048	maize_healthy	0.06441414418279619
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_orig_41.jpg	healthy	G7g_confident	banana	banana_healthy	True	False	False	False	False	False	False	False	False	0.946150285698508	0.9480136206811279	3.7561613461350496e-06	0.051979156127463975	0.3146349965170845	banana_healthy	0.946150285698508	other_leaf	0.051979156127463975	banana_pestalotiopsis	0.0018233233444810396
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_orig_52.jpg	other_leaf	G5b_other_leaf_floor	banana		True	False	True	False	False	False	False	False	False	0.0	0.7557995198596968	0.002074557528583288	0.24212550339451086	1.4870476076572205	banana_healthy	0.54225023414766	other_leaf	0.24212550339451086	banana_pestalotiopsis	0.21120347681725968
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_orig_53.jpg	healthy	G7g_confident	banana	banana_healthy	True	False	False	False	False	False	False	False	False	0.9674001787891988	0.968552118543243	7.756978074469127e-05	0.031370281208481635	0.21525292908520943	banana_healthy	0.9674001787891988	other_leaf	0.031370281208481635	banana_pestalotiopsis	0.0011507348721266789
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_orig_60.jpg	healthy	G7g_confident	banana	banana_healthy	True	False	False	False	False	False	False	False	False	0.8774690722094914	0.8804055629311808	0.00040774536817782606	0.11918668344115006	0.5606650722214596	banana_healthy	0.8774690722094914	other_leaf	0.11918668344115006	banana_pestalotiopsis	0.002919628385292748
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_orig_70.jpg	other_leaf	G5b_other_leaf_floor	banana		True	False	True	False	False	False	False	False	False	0.0	0.8384702629239631	4.140514810079717e-05	0.1614883292716418	0.6948466068315172	banana_healthy	0.8317748686374015	other_leaf	0.1614883292716418	banana_pestalotiopsis	0.00669041461626742
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_orig_86.jpg	other_leaf	G5b_other_leaf_floor	banana		True	False	True	False	False	False	False	False	False	0.0	0.8438371222869544	0.004337855728592028	0.15182488233583621	0.6902260677849411	banana_healthy	0.8398785960110687	other_leaf	0.15182488233583621	maize_healthy	0.0043378553679229975
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\bana_orig_87.jpg	healthy	G7g_confident	banana	banana_healthy	True	False	False	False	False	False	False	False	False	0.9131563024216729	0.9135610737526049	1.3488190194800022e-05	0.08642543788462742	0.4297565566865148	banana_healthy	0.9131563024216729	other_leaf	0.08642543788462742	banana_pestalotiopsis	0.0004045176039113223
banana	raw_photo-like	datasets\holdout_farmer_style\banana_healthy\banana_health_leaf_1.jpg	healthy	G7g_confident	banana	banana_healthy	True	False	False	False	False	False	False	False	False	0.9177868199133292	0.9178422794508219	0.0001834157133267869	0.08197430482810841	0.4124741916854238	banana_healthy	0.9177868199133292	other_leaf	0.08197430482810841	maize_healthy	0.00018341571229404314
